1696237915141:g0x;g0y;g0z;a0y;a0p;a0r:g1x;g1y;g1z;a1y;a1p;a1r:g2x;g2y;g2z;a2y;a2p;a2r:g3x;g3y;g3z;a3y;a3p;a3r:g4x;g4y;g4z;a4y;a4p;a4r:g5x;g5y;g5z;a5y;a5p;a5r
18451:-645.00;-240.00;-160.00;0.64;1.01;-0.03:-95.00;-20.00;662.00;0.09;-0.20;0.73:-267.00;305.00;884.00;0.19;-0.42;0.97:-592.00;941.00;1382.00;0.24;-0.42;0.89:-724.00;297.00;764.00;-0.03;-0.56;0.54:131.00;8.00;99.00;-0.09;0.10;0.27:
18481:287.00;224.00;359.00;0.65;1.01;-0.03:-492.00;1097.00;895.00;0.09;-0.21;0.73:-706.00;754.00;292.00;0.20;-0.42;0.98:-635.00;1192.00;609.00;0.23;-0.41;0.87:-795.00;454.00;165.00;-0.03;-0.56;0.53:371.00;-385.00;129.00;-0.09;0.10;0.27:
18521:-115.00;414.00;24.00;0.65;1.02;-0.04:-382.00;1413.00;481.00;0.08;-0.21;0.69:-546.00;1291.00;-10.00;0.19;-0.41;0.96:-296.00;857.00;-345.00;0.24;-0.42;0.85:-344.00;565.00;92.00;-0.02;-0.56;0.52:32.00;-396.00;285.00;-0.08;0.09;0.28:
18551:405.00;317.00;80.00;0.65;1.02;-0.08:81.00;525.00;-442.00;0.08;-0.20;0.67:56.00;8.00;-892.00;0.20;-0.41;0.98:485.00;-117.00;-841.00;0.26;-0.44;0.86:414.00;282.00;-172.00;0.00;-0.56;0.52:-200.00;-51.00;-76.00;-0.07;0.08;0.30:
18591:-433.00;-36.00;-457.00;0.62;1.02;-0.12:612.00;-1466.00;-1138.00;0.08;-0.21;0.67:722.00;-1577.00;-77.00;0.24;-0.42;1.06:901.00;-1399.00;-74.00;0.30;-0.45;0.91:1037.00;-777.00;-549.00;0.01;-0.56;0.53:-407.00;691.00;-898.00;-0.07;0.08;0.32:
18631:-1450.00;-454.00;-687.00;0.61;1.01;-0.12:384.00;-2651.00;-1403.00;0.09;-0.21;0.71:541.00;-2317.00;221.00;0.26;-0.41;1.13:432.00;-1444.00;176.00;0.29;-0.42;0.95:654.00;-905.00;-419.00;0.01;-0.56;0.55:-218.00;916.00;-723.00;-0.08;0.08;0.30:
18661:-902.00;-405.00;-341.00;0.63;1.02;-0.08:-246.00;-1293.00;-685.00;0.10;-0.20;0.77:-571.00;918.00;1990.00;0.27;-0.40;1.18:-575.00;2230.00;1691.00;0.28;-0.41;0.98:-766.00;450.00;610.00;-0.01;-0.56;0.56:262.00;-341.00;542.00;-0.08;0.09;0.29:
18701:1044.00;357.00;618.00;0.65;1.03;-0.06:-501.00;3034.00;2440.00;0.09;-0.20;0.79:-968.00;2837.00;1066.00;0.26;-0.40;1.17:-591.00;2280.00;811.00;0.26;-0.40;0.95:-699.00;724.00;251.00;-0.01;-0.56;0.55:160.00;-667.00;286.00;-0.08;0.08;0.29:
18731:151.00;551.00;175.00;0.64;1.03;-0.07:-13.00;1487.00;549.00;0.09;-0.19;0.74:-68.00;902.00;-207.00;0.25;-0.40;1.13:415.00;201.00;-517.00;0.27;-0.42;0.92:345.00;205.00;-378.00;-0.01;-0.56;0.53:-155.00;-124.00;-352.00;-0.08;0.08;0.30:
18771:-515.00;4.00;-507.00;0.64;1.03;-0.09:498.00;27.00;-232.00;0.08;-0.19;0.69:416.00;392.00;119.00;0.23;-0.40;1.08:543.00;-637.00;-526.00;0.29;-0.45;0.92:401.00;-434.00;-512.00;-0.01;-0.56;0.54:-317.00;226.00;-215.00;-0.08;0.08;0.30:
