1696237915141:g0x;g0y;g0z;a0y;a0p;a0r:g1x;g1y;g1z;a1y;a1p;a1r:g2x;g2y;g2z;a2y;a2p;a2r:g3x;g3y;g3z;a3y;a3p;a3r:g4x;g4y;g4z;a4y;a4p;a4r:g5x;g5y;g5z;a5y;a5p;a5r
3332:3051.00;3535.00;-2528.00;0.28;0.59;-0.56:-386.00;2409.00;-1771.00;0.01;0.01;0.52:-1030.00;2818.00;-2010.00;-0.00;-0.18;0.37:-1842.00;3326.00;-2776.00;0.03;-0.13;0.35:-3288.00;3263.00;-3122.00;0.00;-0.11;0.19:853.00;2176.00;-976.00;-0.03;0.02;-0.00:
3432:1741.00;3457.00;-2592.00;0.31;0.62;-0.49:-885.00;1383.00;-2431.00;0.01;-0.02;0.58:-1098.00;1842.00;-2364.00;-0.00;-0.20;0.44:-1638.00;2388.00;-2701.00;0.01;-0.14;0.43:-2484.00;2672.00;-2802.00;-0.01;-0.14;0.25:-38.00;2481.00;-702.00;-0.04;0.00;-0.01:
3492:2826.00;2871.00;-2490.00;0.33;0.66;-0.44:-232.00;2001.00;-1145.00;0.02;-0.03;0.63:-471.00;2401.00;-1164.00;0.00;-0.20;0.49:-1076.00;2875.00;-1835.00;0.01;-0.15;0.49:-2293.00;2853.00;-2028.00;-0.01;-0.15;0.29:-173.00;2634.00;-174.00;-0.05;-0.00;-0.01:
3542:2474.00;2621.00;-2061.00;0.32;0.66;-0.39:-565.00;1755.00;-1103.00;0.02;-0.06;0.66:-903.00;2074.00;-1313.00;0.01;-0.22;0.52:-1527.00;2485.00;-2093.00;0.03;-0.18;0.51:-2709.00;2658.00;-2345.00;-0.00;-0.18;0.31:709.00;2454.00;-348.00;-0.06;0.01;-0.01:
3602:1656.00;2813.00;-2134.00;0.31;0.67;-0.34:-1032.00;1416.00;-1892.00;0.03;-0.08;0.70:-1291.00;1826.00;-1919.00;0.01;-0.24;0.55:-1759.00;2298.00;-2344.00;0.03;-0.19;0.55:-2641.00;2585.00;-2384.00;-0.00;-0.20;0.34:470.00;2172.00;-332.00;-0.08;0.00;-0.00:
3652:2115.00;2614.00;-2262.00;0.29;0.68;-0.31:-616.00;1729.00;-1234.00;0.03;-0.09;0.72:-702.00;1985.00;-1383.00;0.01;-0.24;0.57:-1163.00;2188.00;-2078.00;0.02;-0.20;0.57:-1964.00;2198.00;-2357.00;0.00;-0.20;0.36:-98.00;2238.00;-402.00;-0.08;0.00;0.01:
3712:1620.00;2451.00;-2168.00;0.26;0.67;-0.25:-491.00;1112.00;-1492.00;0.03;-0.10;0.72:-816.00;1307.00;-1619.00;0.02;-0.26;0.58:-1385.00;1568.00;-2174.00;0.03;-0.22;0.58:-2198.00;1777.00;-2359.00;0.01;-0.23;0.37:456.00;2330.00;-487.00;-0.09;0.02;0.02:
3762:1444.00;2315.00;-1976.00;0.26;0.67;-0.22:-966.00;1243.00;-1549.00;0.04;-0.11;0.73:-1191.00;1719.00;-1417.00;0.02;-0.27;0.59:-1701.00;2147.00;-1893.00;0.04;-0.23;0.59:-2523.00;2260.00;-2027.00;0.02;-0.25;0.38:629.00;2027.00;-325.00;-0.09;0.02;0.03:
3822:1524.00;2427.00;-1916.00;0.25;0.68;-0.20:-968.00;1118.00;-1729.00;0.05;-0.12;0.73:-1053.00;1412.00;-1672.00;0.03;-0.27;0.59:-1370.00;1750.00;-2082.00;0.06;-0.23;0.60:-1994.00;2037.00;-2145.00;0.03;-0.25;0.39:236.00;1895.00;-362.00;-0.07;0.02;0.05:
3872:1636.00;2122.00;-2052.00;0.24;0.68;-0.19:-484.00;1417.00;-1222.00;0.05;-0.11;0.73:-744.00;1691.00;-1293.00;0.04;-0.26;0.59:-1165.00;1868.00;-1849.00;0.06;-0.23;0.60:-1917.00;1843.00;-2176.00;0.04;-0.25;0.39:132.00;1905.00;-427.00;-0.06;0.03;0.07:
3932:1401.00;1697.00;-2177.00;0.24;0.68;-0.19:-241.00;703.00;-1420.00;0.06;-0.10;0.73:-349.00;1201.00;-1342.00;0.04;-0.25;0.60:-746.00;1581.00;-1870.00;0.07;-0.23;0.61:-1605.00;1890.00;-2059.00;0.05;-0.26;0.40:212.00;1846.00;-479.00;-0.05;0.03;0.08:
3982:1439.00;1867.00;-1859.00;0.22;0.68;-0.18:-370.00;1057.00;-1216.00;0.05;-0.10;0.73:-596.00;1343.00;-1232.00;0.04;-0.25;0.60:-1112.00;1492.00;-1727.00;0.07;-0.23;0.62:-1777.00;1497.00;-1961.00;0.05;-0.27;0.41:81.00;1822.00;-494.00;-0.04;0.03;0.09:
4042:985.00;1781.00;-1916.00;0.22;0.69;-0.16:-325.00;654.00;-1308.00;0.06;-0.10;0.74:-400.00;1018.00;-1249.00;0.04;-0.26;0.61:-823.00;1330.00;-1690.00;0.08;-0.24;0.64:-1546.00;1453.00;-1946.00;0.06;-0.28;0.43:108.00;1722.00;-460.00;-0.04;0.04;0.09:
4092:1269.00;1772.00;-1691.00;0.24;0.70;-0.13:-638.00;984.00;-1160.00;0.06;-0.11;0.76:-816.00;1231.00;-1138.00;0.05;-0.26;0.63:-1128.00;1385.00;-1616.00;0.09;-0.24;0.65:-1699.00;1442.00;-1813.00;0.07;-0.29;0.45:169.00;1651.00;-418.00;-0.03;0.04;0.10:
4142:1114.00;1561.00;-1742.00;0.25;0.71;-0.11:-362.00;865.00;-1091.00;0.07;-0.11;0.77:-514.00;1289.00;-996.00;0.06;-0.27;0.64:-847.00;1625.00;-1423.00;0.10;-0.25;0.66:-1478.00;1642.00;-1645.00;0.08;-0.30;0.47:72.00;1548.00;-312.00;-0.03;0.04;0.10:
4192:1088.00;1494.00;-1732.00;0.26;0.73;-0.10:-289.00;994.00;-889.00;0.07;-0.12;0.78:-423.00;1201.00;-984.00;0.06;-0.27;0.65:-760.00;1322.00;-1514.00;0.10;-0.25;0.67:-1363.00;1373.00;-1748.00;0.08;-0.31;0.48:57.00;1489.00;-399.00;-0.03;0.05;0.11:
4242:941.00;1488.00;-1717.00;0.27;0.74;-0.08:-354.00;810.00;-1114.00;0.07;-0.13;0.78:-567.00;1128.00;-1021.00;0.06;-0.28;0.65:-915.00;1277.00;-1435.00;0.11;-0.26;0.68:-1423.00;1291.00;-1652.00;0.09;-0.32;0.49:112.00;1501.00;-426.00;-0.04;0.05;0.11:
4282:-145.00;1442.00;-1888.00;0.29;0.76;-0.06:-507.00;675.00;-1095.00;0.08;-0.14;0.79:-553.00;995.00;-952.00;0.07;-0.29;0.65:-718.00;1257.00;-1298.00;0.11;-0.27;0.68:-1054.00;1379.00;-1588.00;0.09;-0.33;0.49:125.00;1648.00;-497.00;-0.04;0.06;0.11:
4333:-1247.00;700.00;-2777.00;0.44;0.86;0.10:-86.00;296.00;-785.00;0.09;-0.15;0.79:-55.00;770.00;-747.00;0.07;-0.30;0.65:-527.00;1314.00;-1175.00;0.10;-0.27;0.67:-1038.00;1211.00;-1562.00;0.08;-0.33;0.48:-293.00;1361.00;162.00;-0.05;0.06;0.10:
4373:1287.00;1777.00;-933.00;0.54;0.92;0.18:-161.00;1690.00;-147.00;0.10;-0.17;0.81:-535.00;1659.00;-641.00;0.08;-0.31;0.66:-912.00;1549.00;-1393.00;0.12;-0.30;0.67:-1462.00;1338.00;-1650.00;0.09;-0.36;0.48:-3.00;899.00;-127.00;-0.06;0.08;0.11:
4423:1535.00;1866.00;-1702.00;0.60;0.91;0.17:-79.00;931.00;-1192.00;0.12;-0.20;0.79:-398.00;913.00;-1380.00;0.10;-0.34;0.65:-605.00;1128.00;-1618.00;0.15;-0.33;0.67:-1323.00;1219.00;-1766.00;0.10;-0.38;0.49:342.00;1254.00;-505.00;-0.06;0.09;0.12:
4463:1674.00;2297.00;-796.00;0.53;0.88;0.13:-414.00;-21.00;-1658.00;0.12;-0.22;0.79:-437.00;636.00;-1094.00;0.10;-0.34;0.66:-599.00;1085.00;-1200.00;0.15;-0.32;0.68:-1206.00;1188.00;-1349.00;0.10;-0.38;0.50:272.00;1383.00;-340.00;-0.07;0.08;0.13:
4513:470.00;1496.00;-1936.00;0.39;0.80;0.05:-828.00;548.00;-904.00;0.11;-0.21;0.80:-734.00;783.00;-716.00;0.09;-0.34;0.67:-870.00;911.00;-1043.00;0.13;-0.31;0.69:-1209.00;915.00;-1354.00;0.10;-0.38;0.51:264.00;1356.00;-446.00;-0.07;0.07;0.13:
4553:-400.00;1178.00;-2113.00;0.36;0.76;0.02:-351.00;367.00;-896.00;0.10;-0.20;0.80:-481.00;526.00;-888.00;0.08;-0.33;0.67:-667.00;659.00;-1227.00;0.12;-0.31;0.70:-948.00;784.00;-1523.00;0.09;-0.38;0.52:105.00;1321.00;-558.00;-0.07;0.06;0.13:
4603:13.00;1052.00;-1870.00;0.36;0.76;0.01:-12.00;34.00;-1090.00;0.10;-0.19;0.81:-98.00;602.00;-753.00;0.07;-0.32;0.69:-410.00;876.00;-1027.00;0.11;-0.30;0.72:-795.00;998.00;-1303.00;0.08;-0.37;0.53:17.00;1186.00;-370.00;-0.07;0.06;0.13:
4643:677.00;1219.00;-1295.00;0.36;0.77;0.03:-799.00;527.00;-794.00;0.09;-0.18;0.82:-396.00;997.00;-452.00;0.06;-0.32;0.69:-723.00;1167.00;-787.00;0.09;-0.29;0.72:-998.00;1087.00;-1134.00;0.08;-0.38;0.54:194.00;1194.00;-330.00;-0.07;0.05;0.12:
4713:595.00;1151.00;-1242.00;0.35;0.77;0.03:-29185.00;18202.00;-10942.00;-3.02;-0.53;-0.60:-528.00;876.00;-426.00;0.04;-0.30;0.67:-875.00;1137.00;-647.00;0.05;-0.26;0.70:-804.00;1163.00;-917.00;0.05;-0.37;0.53:209.00;1381.00;-612.00;-0.06;0.04;0.10:
4763:119.00;1023.00;-1309.00;0.36;0.76;0.04:-898.00;-5087.00;-17795.00;3.12;-0.48;-0.53:62.00;593.00;-775.00;0.00;-0.27;0.62:-197.00;906.00;-1057.00;-0.01;-0.22;0.66:-442.00;1105.00;-1371.00;-0.00;-0.36;0.49:-70.00;1465.00;-112.00;-0.06;0.02;0.07:
4813:632.00;668.00;-1481.00;0.37;0.77;0.06:190.00;1923.00;-368.00;0.07;-0.06;0.76:-1252.00;1986.00;-250.00;-0.02;-0.27;0.61:-1563.00;1675.00;-797.00;-0.04;-0.22;0.65:-1842.00;1454.00;-916.00;-0.02;-0.37;0.48:366.00;553.00;296.00;-0.06;0.02;0.06:
4873:703.00;1378.00;-815.00;0.36;0.78;0.07:219.00;1542.00;14.00;0.07;-0.08;0.77:-204.00;1643.00;-349.00;-0.01;-0.27;0.62:-599.00;1437.00;-961.00;-0.01;-0.24;0.66:-1081.00;1271.00;-1233.00;-0.00;-0.38;0.49:-302.00;-45.00;530.00;-0.07;0.04;0.09:
4923:1581.00;1452.00;-880.00;0.35;0.79;0.05:118.00;2618.00;243.00;0.07;-0.14;0.76:-96.00;1765.00;-85.00;0.02;-0.32;0.62:-206.00;1280.00;-646.00;0.06;-0.30;0.66:-292.00;1055.00;-950.00;0.05;-0.41;0.50:-102.00;878.00;-643.00;-0.07;0.05;0.14:
4973:9.00;1087.00;-1420.00;0.32;0.78;0.01:140.00;-1394.00;-2253.00;0.09;-0.17;0.76:190.00;-701.00;-1409.00;0.04;-0.35;0.63:-15.00;-231.00;-1208.00;0.11;-0.34;0.67:-209.00;372.00;-1211.00;0.09;-0.43;0.53:184.00;1293.00;-570.00;-0.07;0.07;0.16:
5023:-33.00;728.00;-977.00;0.31;0.78;-0.00:-289.00;117.00;-266.00;0.11;-0.19;0.81:-463.00;469.00;-183.00;0.07;-0.36;0.66:-682.00;983.00;-191.00;0.13;-0.35;0.70:-904.00;941.00;-432.00;0.11;-0.44;0.55:286.00;882.00;-269.00;-0.07;0.07;0.18:
5083:165.00;848.00;-969.00;0.33;0.79;-0.02:72.00;-193.00;-988.00;0.11;-0.20;0.81:-169.00;374.00;-567.00;0.07;-0.37;0.66:-296.00;482.00;-858.00;0.14;-0.36;0.70:-534.00;560.00;-1100.00;0.12;-0.44;0.55:15.00;787.00;-352.00;-0.08;0.07;0.20:
5143:517.00;942.00;-824.00;0.34;0.81;-0.03:-467.00;1179.00;79.00;0.12;-0.22;0.83:-457.00;670.00;-497.00;0.08;-0.37;0.68:-546.00;797.00;-687.00;0.15;-0.36;0.72:-807.00;755.00;-844.00;0.13;-0.45;0.56:60.00;649.00;-227.00;-0.08;0.08;0.21:
5203:107.00;797.00;-975.00;0.33;0.82;-0.04:-224.00;-309.00;-967.00;0.12;-0.22;0.82:-13.00;155.00;-398.00;0.11;-0.37;0.72:-131.00;270.00;-691.00;0.17;-0.36;0.74:-344.00;280.00;-1067.00;0.14;-0.45;0.56:34.00;966.00;-541.00;-0.08;0.08;0.22:
5253:74.00;613.00;-838.00;0.33;0.83;-0.03:-58.00;127.00;-426.00;0.12;-0.21;0.83:-170.00;344.00;-249.00;0.12;-0.37;0.75:-349.00;739.00;-473.00;0.18;-0.36;0.77:-678.00;737.00;-672.00;0.14;-0.45;0.58:7808.00;-19842.00;-9541.00;-3.14;3.14;-1.60:
5313:479.00;712.00;-859.00;0.34;0.85;-0.02:-35.00;139.00;-836.00;0.12;-0.21;0.84:-114.00;298.00;-618.00;0.14;-0.37;0.81:-212.00;480.00;-773.00;0.18;-0.36;0.80:-464.00;512.00;-978.00;0.14;-0.45;0.59:-19861.00;-32287.00;-30654.00;-3.14;-0.01;-0.01:
5353:117.00;664.00;-882.00;0.33;0.86;-0.02:-48.00;-173.00;-640.00;0.11;-0.20;0.86:-279.00;-308.00;-615.00;0.15;-0.37;0.87:-221.00;139.00;-549.00;0.18;-0.35;0.84:-170.00;840.00;-412.00;0.14;-0.45;0.61:82.00;915.00;-486.00;-0.08;0.06;0.22:
5403:-190.00;425.00;-855.00;0.33;0.87;-0.01:-161.00;-860.00;-969.00;0.10;-0.19;0.89:206.00;-1500.00;-1185.00;0.16;-0.34;0.97:-421.00;-493.00;-688.00;0.16;-0.32;0.89:-519.00;-384.00;-1348.00;0.11;-0.44;0.60:-175.00;838.00;-466.00;-0.08;0.05;0.21:
5453:318.00;626.00;-589.00;0.34;0.88;0.01:-235.00;2835.00;1972.00;0.10;-0.19;0.91:-356.00;2087.00;823.00;0.18;-0.35;1.04:-548.00;1892.00;288.00;0.17;-0.33;0.90:-519.00;1426.00;-132.00;0.12;-0.45;0.61:7998.00;26768.00;-29566.00;-3.14;-0.06;0.01:
5503:463.00;835.00;-765.00;0.36;0.88;0.01:645.00;1613.00;-1251.00;0.08;-0.21;0.70:154.00;635.00;-656.00;0.18;-0.38;0.97:34.00;255.00;-1029.00;0.18;-0.37;0.85:-149.00;262.00;-1094.00;0.12;-0.48;0.59:-167.00;730.00;-451.00;-0.09;0.08;0.21:
5543:37.00;612.00;-1000.00;0.37;0.87;0.01:404.00;1089.00;-991.00;0.08;-0.25;0.62:-131.00;427.00;-736.00;0.18;-0.40;0.94:-343.00;462.00;-784.00;0.20;-0.40;0.83:-737.00;552.00;-623.00;0.13;-0.49;0.60:81.00;506.00;-42.00;-0.10;0.10;0.21:
5593:604.00;701.00;-493.00;0.40;0.87;0.00:-62.00;594.00;-1720.00;0.06;-0.31;0.50:-254.00;818.00;-610.00;0.17;-0.43;0.87:-157.00;743.00;-552.00;0.22;-0.43;0.80:-338.00;525.00;-743.00;0.14;-0.51;0.59:170.00;717.00;-413.00;-0.10;0.11;0.22:
5633:-383.00;470.00;-1072.00;0.40;0.86;-0.01:118.00;-213.00;-1670.00;0.05;-0.33;0.44:17.00;-487.00;-1155.00;0.16;-0.44;0.84:-44.00;-441.00;-1137.00;0.22;-0.44;0.80:-300.00;-117.00;-1109.00;0.14;-0.51;0.59:-43.00;811.00;-415.00;-0.11;0.12;0.22:
5683:189.00;526.00;-684.00;0.42;0.87;0.00:-225.00;607.00;-628.00;0.03;-0.35;0.39:-323.00;598.00;-429.00;0.17;-0.46;0.83:-360.00;1023.00;-273.00;0.24;-0.46;0.80:-571.00;827.00;-369.00;0.15;-0.52;0.60:192.00;443.00;-133.00;-0.11;0.13;0.21:
5723:152.00;544.00;-688.00;0.42;0.87;0.01:-406.00;168.00;-1184.00;0.01;-0.36;0.35:-292.00;258.00;-673.00;0.17;-0.47;0.82:-399.00;65.00;-968.00;0.26;-0.47;0.82:-617.00;194.00;-787.00;0.15;-0.52;0.61:298.00;597.00;-308.00;-0.11;0.13;0.21:
5763:-275.00;653.00;-521.00;0.42;0.88;0.01:-667.00;-163.00;-1148.00;0.01;-0.35;0.34:-467.00;-104.00;-550.00;0.17;-0.47;0.82:-387.00;414.00;-97.00;0.27;-0.47;0.85:-673.00;185.00;-533.00;0.15;-0.52;0.62:322.00;770.00;-414.00;-0.11;0.13;0.21:
5813:-291.00;464.00;-614.00;0.44;0.91;0.02:-400.00;279.00;-405.00;0.01;-0.34;0.35:-505.00;210.00;-386.00;0.17;-0.47;0.83:-504.00;370.00;-456.00;0.28;-0.46;0.88:-619.00;403.00;-484.00;0.16;-0.51;0.63:64.00;422.00;-77.00;-0.09;0.13;0.20:
5853:402.00;652.00;-379.00;0.46;0.93;0.03:-349.00;617.00;-220.00;0.02;-0.33;0.36:-296.00;784.00;-303.00;0.18;-0.46;0.83:-40.00;358.00;-953.00;0.31;-0.46;0.93:-35.00;788.00;-593.00;0.18;-0.50;0.65:49.00;293.00;-72.00;-0.09;0.12;0.20:
5903:112.00;337.00;-776.00;0.47;0.95;0.02:633.00;-260.00;-459.00;0.03;-0.30;0.37:694.00;-404.00;-589.00;0.17;-0.44;0.83:774.00;-2206.00;-1837.00;0.33;-0.43;1.06:1079.00;75.00;-755.00;0.19;-0.51;0.71:-561.00;880.00;-612.00;-0.09;0.11;0.20:
5943:-305.00;9.00;-898.00;0.47;0.97;0.03:939.00;-269.00;-198.00;0.02;-0.28;0.40:-58.00;847.00;559.00;0.16;-0.43;0.87:-3.00;1109.00;373.00;0.34;-0.41;1.15:-1112.00;1298.00;591.00;0.19;-0.54;0.75:30.00;307.00;310.00;-0.09;0.13;0.19:
5984:1423.00;601.00;60.00;0.47;0.98;0.05:-864.00;1447.00;593.00;0.01;-0.28;0.41:-925.00;1521.00;196.00;0.16;-0.42;0.87:-811.00;658.00;-185.00;0.31;-0.38;1.17:-988.00;500.00;-460.00;0.18;-0.55;0.73:332.00;62.00;-224.00;-0.09;0.11;0.20:
6023:-378.00;790.00;-732.00;0.45;0.98;0.02:-430.00;867.00;-151.00;0.01;-0.27;0.40:-623.00;1020.00;-54.00;0.14;-0.41;0.85:-787.00;2163.00;1016.00;0.26;-0.32;1.15:-1057.00;336.00;-622.00;0.17;-0.54;0.71:133.00;18.00;-109.00;-0.09;0.10;0.21:
6063:337.00;666.00;-401.00;0.45;0.99;0.01:-134.00;909.00;229.00;0.01;-0.26;0.37:-291.00;1311.00;107.00;0.10;-0.38;0.77:-293.00;891.00;-542.00;0.22;-0.30;1.06:-181.00;-13.00;-920.00;0.17;-0.51;0.69:-158.00;557.00;-364.00;-0.08;0.09;0.22:
6104:-239.00;191.00;-750.00;0.45;0.99;-0.02:630.00;-169.00;-496.00;0.01;-0.25;0.33:429.00;-320.00;-1030.00;0.07;-0.37;0.70:-51.00;-301.00;-1165.00;0.21;-0.30;1.00:201.00;356.00;-507.00;0.16;-0.49;0.68:-22.00;745.00;-327.00;-0.08;0.08;0.23:
6144:-258.00;266.00;-541.00;0.45;0.99;-0.02:-54.00;-521.00;-967.00;-0.00;-0.25;0.33:-101.00;-687.00;-1087.00;0.06;-0.37;0.68:-485.00;-544.00;-987.00;0.19;-0.31;0.97:-268.00;-432.00;-1028.00;0.16;-0.49;0.68:11.00;661.00;-358.00;-0.08;0.08;0.23:
6184:-377.00;407.00;-535.00;0.47;1.00;-0.01:-354.00;-256.00;-722.00;-0.00;-0.25;0.34:-410.00;-226.00;-551.00;0.06;-0.37;0.69:-627.00;-28.00;-511.00;0.18;-0.30;0.94:-466.00;-9.00;-601.00;0.18;-0.48;0.70:90.00;510.00;-243.00;-0.08;0.08;0.22:
6224:-141.00;373.00;-499.00;0.49;1.01;0.00:-333.00;-44.00;-460.00;0.01;-0.24;0.36:-310.00;51.00;-430.00;0.06;-0.36;0.69:-615.00;361.00;-536.00;0.16;-0.29;0.91:-272.00;428.00;-178.00;0.17;-0.46;0.72:69.00;505.00;-295.00;-0.08;0.07;0.21:
6264:-162.00;448.00;-418.00;0.51;1.02;0.02:-240.00;-319.00;-648.00;0.02;-0.22;0.39:-270.00;-3.00;-178.00;0.06;-0.34;0.70:-681.00;143.00;-381.00;0.13;-0.26;0.89:-228.00;260.00;-185.00;0.17;-0.45;0.71:-7.00;550.00;-314.00;-0.07;0.06;0.20:
6304:494.00;644.00;107.00;0.54;1.03;0.02:-1216.00;-1840.00;-2919.00;0.03;-0.18;0.44:-485.00;761.00;483.00;0.06;-0.32;0.69:-918.00;714.00;-40.00;0.10;-0.23;0.86:-402.00;736.00;104.00;0.15;-0.44;0.70:233.00;604.00;-236.00;-0.06;0.05;0.19:
6344:40.00;422.00;-600.00;0.55;1.01;-0.01:-671.00;-357.00;-1249.00;0.07;-0.12;0.58:-423.00;103.00;-229.00;0.04;-0.29;0.67:-999.00;-369.00;-811.00;0.07;-0.20;0.82:-316.00;-152.00;-764.00;0.12;-0.42;0.65:-53.00;499.00;-316.00;-0.05;0.03;0.17:
6384:49.00;280.00;-812.00;0.53;0.99;-0.01:-154.00;1910.00;2110.00;0.09;-0.07;0.65:-194.00;239.00;-275.00;0.04;-0.26;0.65:-508.00;346.00;-344.00;0.06;-0.19;0.80:47.00;554.00;-513.00;0.10;-0.41;0.61:-131.00;465.00;-307.00;-0.03;0.03;0.15:
6424:35.00;-58.00;-987.00;0.51;0.97;0.01:91.00;43.00;-186.00;0.11;-0.03;0.65:282.00;215.00;-84.00;0.04;-0.24;0.62:-117.00;160.00;-523.00;0.04;-0.17;0.76:209.00;143.00;-963.00;0.06;-0.40;0.58:-45.00;830.00;-438.00;-0.02;0.03;0.12:
6464:-736.00;-497.00;-1327.00;0.49;0.95;0.07:1279.00;-1636.00;-2861.00;0.12;0.00;0.70:442.00;-573.00;-1245.00;0.03;-0.22;0.61:-190.00;-163.00;-919.00;0.01;-0.15;0.75:-92.00;377.00;-792.00;0.03;-0.38;0.57:31.00;662.00;-41.00;-0.02;0.02;0.09:
6504:840.00;-111.00;-620.00;0.45;0.95;0.11:868.00;1772.00;232.00;0.11;0.00;0.84:267.00;2327.00;1288.00;0.02;-0.21;0.64:-635.00;2132.00;492.00;-0.01;-0.14;0.75:-618.00;1358.00;247.00;0.02;-0.38;0.58:-17.00;-617.00;579.00;-0.03;0.02;0.08:
6544:244.00;1021.00;133.00;0.40;0.94;0.12:1573.00;1715.00;482.00;0.10;-0.01;0.86:-160.00;1918.00;499.00;0.02;-0.22;0.63:-524.00;1238.00;-360.00;0.00;-0.16;0.75:-416.00;567.00;-692.00;0.04;-0.39;0.58:-281.00;-860.00;216.00;-0.04;0.02;0.10:
6594:324.00;1092.00;344.00;0.41;0.95;0.08:1509.00;2970.00;318.00;0.08;-0.07;0.75:361.00;1041.00;196.00;0.02;-0.27;0.62:-163.00;428.00;-235.00;0.05;-0.23;0.75:132.00;305.00;-195.00;0.07;-0.42;0.60:-186.00;278.00;-196.00;-0.05;0.05;0.14:
6634:-194.00;230.00;-795.00;0.43;0.96;0.03:346.00;-398.00;-2299.00;0.08;-0.15;0.69:-12.00;-550.00;-780.00;0.03;-0.32;0.63:-423.00;-530.00;-497.00;0.08;-0.27;0.76:-213.00;-267.00;-371.00;0.10;-0.44;0.62:156.00;687.00;-294.00;-0.06;0.06;0.16:
6674:-574.00;125.00;-496.00;0.43;0.97;0.02:-815.00;-1016.00;-1945.00;0.08;-0.22;0.66:-211.00;-318.00;-68.00;0.05;-0.35;0.65:-603.00;-152.00;36.00;0.11;-0.30;0.78:-337.00;-28.00;7.00;0.12;-0.45;0.64:290.00;679.00;-381.00;-0.06;0.07;0.17:
6714:-626.00;247.00;-292.00;0.43;0.98;0.01:-684.00;-1164.00;-1569.00;0.08;-0.25;0.64:-282.00;-630.00;-363.00;0.07;-0.37;0.67:-349.00;-274.00;-183.00;0.12;-0.30;0.79:-18.00;-44.00;-307.00;0.13;-0.46;0.65:23.00;488.00;-310.00;-0.06;0.07;0.18:
6764:18363.00;-9947.00;20606.00;2.18;-0.15;-0.37:-122.00;-223.00;-553.00;0.09;-0.26;0.64:-76.00;219.00;164.00;0.08;-0.37;0.69:-275.00;287.00;16.00;0.14;-0.31;0.81:-143.00;257.00;-168.00;0.13;-0.46;0.65:-130.00;270.00;-135.00;-0.06;0.07;0.18:
6804:165.00;310.00;-275.00;0.45;1.00;0.02:-46.00;-276.00;-513.00;0.09;-0.26;0.64:-52.00;-93.00;-221.00;0.08;-0.38;0.70:-202.00;-56.00;-234.00;0.15;-0.32;0.82:-34.00;31.00;-366.00;0.14;-0.46;0.66:-57.00;387.00;-270.00;-0.06;0.08;0.19:
6844:-368.00;105.00;-521.00;0.45;1.00;0.03:-144.00;-478.00;-336.00;0.09;-0.26;0.65:-261.00;-220.00;-16.00;0.09;-0.37;0.72:-461.00;-92.00;119.00;0.14;-0.31;0.83:-153.00;-161.00;-244.00;0.14;-0.46;0.66:47.00;613.00;-441.00;-0.06;0.08;0.18:
6884:-363.00;456.00;48.00;0.48;1.00;0.05:-749.00;-587.00;-522.00;0.09;-0.24;0.66:-637.00;-174.00;-11.00;0.08;-0.35;0.71:-863.00;30.00;83.00;0.13;-0.29;0.81:-500.00;-8.00;-47.00;0.14;-0.46;0.66:26.00;526.00;-255.00;-0.06;0.08;0.17:
6924:-121.00;606.00;-34.00;0.51;0.99;0.07:-1572.00;-52.00;-520.00;0.10;-0.22;0.64:-1625.00;-288.00;-568.00;0.08;-0.33;0.67:-1253.00;257.00;137.00;0.12;-0.27;0.77:-717.00;245.00;-9.00;0.13;-0.45;0.62:126.00;523.00;-148.00;-0.04;0.08;0.15:
6964:-405.00;251.00;-445.00;0.53;0.97;0.11:-534.00;100.00;-833.00;0.14;-0.20;0.63:-220.00;201.00;-1120.00;0.11;-0.31;0.62:-150.00;669.00;-748.00;0.11;-0.25;0.71:208.00;1039.00;-514.00;0.10;-0.44;0.58:223.00;248.00;-3.00;-0.02;0.08;0.14:
7004:-30.00;-717.00;-892.00;0.56;0.98;0.11:1847.00;-199.00;-359.00;0.14;-0.14;0.65:1633.00;1058.00;384.00;0.11;-0.26;0.61:985.00;1166.00;-265.00;0.06;-0.20;0.69:836.00;961.00;-367.00;0.07;-0.41;0.57:-429.00;29.00;-80.00;-0.02;0.05;0.13:
7044:669.00;-537.00;-735.00;0.56;0.99;0.12:2230.00;-356.00;-188.00;0.10;-0.10;0.69:1744.00;1246.00;1121.00;0.07;-0.21;0.59:458.00;612.00;-149.00;-0.00;-0.17;0.69:598.00;433.00;-262.00;0.03;-0.40;0.56:-317.00;404.00;-333.00;-0.04;0.04;0.12:
7084:-331.00;116.00;-571.00;0.52;0.99;0.15:1481.00;-2016.00;-2988.00;0.07;-0.11;0.78:756.00;430.00;345.00;0.02;-0.20;0.58:-764.00;-497.00;-678.00;-0.05;-0.16;0.68:-267.00;-475.00;-769.00;0.00;-0.40;0.56:-198.00;-57.00;-118.00;-0.05;0.03;0.11:
7124:46.00;623.00;419.00;0.51;0.98;0.19:-982.00;655.00;-994.00;0.07;-0.16;0.87:-1623.00;671.00;72.00;0.01;-0.24;0.59:-1691.00;534.00;194.00;-0.04;-0.18;0.68:-1327.00;316.00;103.00;0.01;-0.42;0.57:451.00;12.00;285.00;-0.05;0.05;0.10:
