112.00;-10038.00;-6754.00;-0.00;0.00;-0.04:-1205.00;1409.00;-2378.00;0.05;0.22;0.62:-4325.00;2264.00;-1656.00;-0.02;0.40;0.52:-14492.00;732.00;-5043.00;0.01;-0.04;0.31:7710.00;6329.00;-1455.00;-0.08;0.18;0.25:143.00;-10935.00;-6636.00;-0.00;0.00;-0.05
494.00;-912.00;-1755.00;-0.03;0.76;0.19:-1121.00;1222.00;-2279.00;0.06;0.22;0.62:-4117.00;2142.00;-1637.00;-0.02;0.40;0.53:-14232.00;654.00;-5028.00;0.02;-0.06;0.32:7784.00;6327.00;-1419.00;-0.08;0.19;0.26:158.00;-11549.00;-6532.00;-0.00;0.00;-0.06
952.00;-703.00;-1646.00;-0.03;0.75;0.19:-906.00;1514.00;-2259.00;0.06;0.20;0.64:-3972.00;2327.00;-1779.00;-0.01;0.36;0.55:-13543.00;823.00;-4938.00;0.05;-0.16;0.34:7179.00;6149.00;-1513.00;-0.09;0.20;0.29:95.00;-12510.00;-5696.00;-0.01;0.00;-0.16
1025.00;-289.00;-1261.00;-0.04;0.75;0.19:-982.00;2055.00;-2207.00;0.05;0.20;0.65:-4079.00;2930.00;-1669.00;-0.01;0.34;0.56:-13348.00;1527.00;-4641.00;0.06;-0.19;0.36:6774.00;6903.00;-1207.00;-0.10;0.21;0.31:106.00;-12532.00;-5161.00;-0.02;-0.00;-0.21
1322.00;-175.00;-927.00;-0.04;0.75;0.20:-755.00;2409.00;-1881.00;0.06;0.19;0.66:-3731.00;3132.00;-1627.00;-0.01;0.33;0.57:-12925.00;1550.00;-4697.00;0.08;-0.23;0.37:6860.00;6594.00;-1483.00;-0.11;0.22;0.33:-13.00;-12389.00;-4968.00;-0.02;-0.00;-0.25
1151.00;-342.00;-1034.00;-0.04;0.74;0.19:-840.00;1866.00;-2146.00;0.06;0.17;0.66:-3750.00;2642.00;-1821.00;0.00;0.31;0.58:-12722.00;1233.00;-4657.00;0.10;-0.28;0.38:6850.00;6188.00;-1616.00;-0.10;0.23;0.35:308.00;-12101.00;-5063.00;-0.03;-0.00;-0.29
735.00;-599.00;-1417.00;-0.04;0.74;0.18:-927.00;1420.00;-2440.00;0.06;0.17;0.66:-3780.00;2272.00;-1919.00;0.00;0.30;0.58:-12645.00;950.00;-4584.00;0.11;-0.31;0.39:6582.00;5889.00;-1556.00;-0.11;0.23;0.36:402.00;-11851.00;-5150.00;-0.03;-0.00;-0.31
1123.00;-482.00;-1156.00;-0.05;0.73;0.18:-877.00;1625.00;-2100.00;0.07;0.16;0.67:-3633.00;2248.00;-1786.00;0.01;0.28;0.60:-12417.00;657.00;-4497.00;0.13;-0.35;0.40:6479.00;5406.00;-1428.00;-0.11;0.24;0.38:-9.00;-11525.00;-5159.00;-0.04;-0.00;-0.35
1253.00;-456.00;-1306.00;-0.05;0.72;0.18:-188.00;1759.00;-1780.00;0.07;0.15;0.68:-2852.00;2486.00;-1674.00;0.01;0.26;0.61:-11581.00;1061.00;-4388.00;0.15;-0.37;0.41:7027.00;6127.00;-1089.00;-0.10;0.25;0.40:-138.00;-11425.00;-4986.00;-0.05;-0.00;-0.38
885.00;-552.00;-1898.00;-0.06;0.72;0.17:69.00;1444.00;-2019.00;0.07;0.13;0.67:-2704.00;2279.00;-1790.00;0.02;0.25;0.61:-11151.00;1180.00;-4176.00;0.16;-0.41;0.42:6821.00;6091.00;-919.00;-0.10;0.26;0.41:-66.00;-11089.00;-4827.00;-0.06;-0.00;-0.41
966.00;-329.00;-1620.00;-0.07;0.71;0.18:-156.00;1401.00;-2348.00;0.07;0.12;0.67:-2751.00;2203.00;-1885.00;0.02;0.23;0.62:-11008.00;940.00;-4160.00;0.18;-0.45;0.43:7326.00;5676.00;-1087.00;-0.10;0.27;0.42:-157.00;-10888.00;-4718.00;-0.07;-0.01;-0.45
993.00;-198.00;-1256.00;-0.07;0.71;0.18:-317.00;1761.00;-2203.00;0.08;0.10;0.68:-3019.00;2578.00;-1936.00;0.03;0.21;0.62:-11243.00;1371.00;-4031.00;0.20;-0.49;0.43:6840.00;5740.00;-1326.00;-0.09;0.26;0.42:150.00;-11137.00;-4583.00;-0.08;-0.01;-0.48
659.00;-170.00;-1138.00;-0.07;0.70;0.17:-475.00;1723.00;-2164.00;0.08;0.09;0.68:-3132.00;2359.00;-2147.00;0.04;0.19;0.62:-11269.00;1148.00;-4161.00;0.21;-0.52;0.43:6362.00;5154.00;-1775.00;-0.07;0.26;0.42:528.00;-11108.00;-4572.00;-0.09;-0.01;-0.50
450.00;-219.00;-1119.00;-0.08;0.69;0.16:-834.00;1291.00;-2604.00;0.08;0.07;0.68:-3308.00;1732.00;-2454.00;0.05;0.18;0.62:-11443.00;619.00;-4172.00;0.23;-0.56;0.44:6002.00;4810.00;-1651.00;-0.07;0.26;0.43:858.00;-10784.00;-4518.00;-0.10;-0.01;-0.53
515.00;-115.00;-832.00;-0.08;0.69;0.16:-1148.00;1416.00;-2596.00;0.09;0.06;0.68:-3597.00;1963.00;-2185.00;0.05;0.16;0.63:-11512.00;860.00;-3696.00;0.26;-0.59;0.45:5641.00;4689.00;-1472.00;-0.06;0.26;0.45:952.00;-10706.00;-4454.00;-0.11;-0.00;-0.55
